# r (Å)	g(r)
0.050000	0.000000
0.150000	0.000000
0.250000	0.000000
0.350000	0.000000
0.450000	0.000000
0.550000	0.000000
0.650000	0.000000
0.750000	0.000000
0.850000	0.000000
0.950000	0.000000
1.050000	0.000000
1.150000	0.000000
1.250000	0.000000
1.350000	0.000000
1.450000	0.000000
1.550000	0.000000
1.650000	0.000000
1.750000	0.000000
1.850000	0.000000
1.950000	0.000000
2.050000	0.000000
2.150000	0.000000
2.250000	0.000000
2.350000	0.000000
2.450000	0.000159
2.550000	0.075093
2.650000	0.724808
2.750000	1.811972
2.850000	2.276688
2.950000	1.930411
3.050000	1.577808
3.150000	1.420662
3.250000	1.339320
3.350000	1.269550
3.450000	1.239151
3.550000	1.183281
3.650000	1.138413
3.750000	1.092726
3.850000	1.063449
3.950000	1.034707
4.050000	1.026318
4.150000	1.013990
4.250000	1.007021
4.350000	1.003600
4.450000	0.991799
4.550000	0.979480
4.650000	0.973048
4.750000	0.969827
4.850000	0.948105
4.950000	0.941606
5.050000	0.926259
5.150000	0.910666
5.250000	0.908450
5.350000	0.910818
5.450000	0.903532
5.550000	0.910036
5.650000	0.922152
5.750000	0.942024
5.850000	0.960052
5.950000	0.975256
6.050000	0.991436
6.150000	0.997958
6.250000	1.011333
6.350000	1.012718
6.450000	1.023805
6.550000	1.022948
6.650000	1.027459
6.750000	1.027009
6.850000	1.027045
6.950000	1.022746
7.050000	1.015586
7.150000	1.010373
7.250000	1.003046
7.350000	0.995180
7.450000	0.994002
7.550000	0.983552
7.650000	0.978734
7.750000	0.969532
7.850000	0.973968
7.950000	0.965733
8.050000	0.968973
8.150000	0.968461
8.250000	0.972287
8.350000	0.974998
8.450000	0.974816
8.550000	0.979812
8.650000	0.987728
8.750000	0.987253
8.850000	0.995734
8.950000	0.999416
9.050000	0.999867
9.150000	1.005332
9.250000	1.007611
9.350000	1.009998
9.450000	1.014365
9.550000	1.012094
9.650000	1.013455
9.750000	1.016531
9.850000	1.012992
9.950000	1.013834
