#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10.00000000000073,-18741.634792824374,5450.861286673242,-13290.773506151132,290.8819755280643,0
19.99999999999874,-18871.47400711686,5620.334957228685,-13251.139049888174,299.2322758531869,27.5
29.999999999975433,-19316.330798082203,5604.408336725594,-13711.922461356608,298.877769463543,27.5
40.00000000000897,-19128.46069484206,5692.490616119551,-13435.970078722508,302.48563751322126,27.5
50.000000000056716,-18880.65354805673,5615.051685343675,-13265.601862713054,298.01773420596754,27.5
60.000000000104464,-19290.706977791397,5498.387205529762,-13792.319772261635,292.799457657178,27.5
70.00000000015221,-19116.34909310878,5369.989017244009,-13746.36007586477,286.00935453869147,27.6
80.00000000019996,-19129.785846517454,5745.582015409582,-13384.203831107872,304.8335152494484,27.6
90.00000000024771,-19406.111375760684,5469.61558289229,-13936.495792868394,290.5650470108365,27.6
100.00000000029546,-19385.696320780145,5577.527039224142,-13808.169281556004,297.3076924208942,27.6
110.0000000003432,-19160.798723305023,5700.306783158959,-13460.491940146065,303.79315563169354,27.7
120.00000000039095,-19099.282122763732,5603.292385118437,-13495.989737645295,298.11341508304656,27.7
130.00000000038185,-18943.404807678213,5679.7338272757615,-13263.67098040245,302.8692458604231,27.7
140.00000000014538,-19305.910286112536,5488.542060272153,-13817.368225840382,293.7562846429286,27.7
149.9999999999089,-19211.579228705228,5604.014318207447,-13607.564910497782,299.1304948743388,27.7
159.99999999967244,-19122.75142445062,5828.540979327939,-13294.21044512268,311.2200984774827,27.7
169.99999999943597,-18819.502338535734,5820.344627750782,-12999.157710784952,310.4295930596215,27.7
179.9999999991995,-19238.294838230482,5537.936669154113,-13700.35816907637,295.0561582560835,27.7
189.99999999896303,-19092.15756247068,5635.190656444618,-13456.96690602606,300.22760584429415,27.7
199.99999999872657,-19034.368618975455,5476.935615504282,-13557.433003471173,291.60492865530455,27.7
209.9999999984901,-18651.04921241836,5484.474905151929,-13166.57430726643,293.31337444734356,27.7
219.99999999825363,-19360.77741431825,5584.706179173233,-13776.071235145017,298.23639532733694,27.7
229.99999999801716,-18960.180272064634,5641.580387854663,-13318.59988420997,299.4083696386582,27.7
239.9999999977807,-19169.22792461744,5845.512498347964,-13323.715426269477,311.5846873778076,27.7
249.99999999754422,-19269.1801269664,5594.491978166172,-13674.688148800227,298.328080698125,27.8
259.9999999973078,-19439.96517129662,5556.320264336197,-13883.64490696042,296.6361577072387,27.8
269.9999999970713,-19155.759209864915,5527.099167160049,-13628.660042704865,294.8867445650475,27.8
279.99999999683484,-19113.675726669862,5810.1127167399145,-13303.563009929949,309.5622790683956,27.8
289.9999999965984,-19024.34197563929,5542.1511612101485,-13482.190814429141,294.2378458602249,27.8
299.9999999963619,-18874.599325402316,5504.764548079167,-13369.834777323149,294.1525993090703,27.8
309.99999999612544,-19307.257497393693,5529.896975719402,-13777.36052167429,295.28755759946114,27.8
319.99999999588897,-18941.828847113968,5482.307781015186,-13459.521066098781,292.03456420398385,27.8
329.9999999956525,-19291.55008777967,5421.777910930242,-13869.772176849427,289.1223851676134,27.8
339.99999999541603,-19397.717679789905,5817.218950195189,-13580.498729594716,310.16009222902284,27.8
349.99999999517956,-19026.97031917646,5660.82092313133,-13366.14939604513,302.55486398964644,27.8
359.9999999949431,-19144.675864126544,5515.104154199212,-13629.571709927332,293.54250717329506,27.8
369.9999999947066,-19222.02732645232,5590.8963069355505,-13631.13101951677,298.5331825721575,27.8
379.99999999447016,-19092.93418323897,5489.9813769997345,-13602.952806239235,291.9013288240475,27.8
389.9999999942337,-19063.698080587623,5468.168502489119,-13595.529578098503,291.9664063551283,27.8
